Titre,Entreprise,Lieu,Contrat,Salaire
Ingénieur Data (H/F),Prosol,Chaponnay (69),CDI,N/A
Data Scientist (H/F),Prosol,Chaponnay (69),CDI,N/A
Data Ingénieur H/F,Fed IT,Paris (75),CDI,60 000 € - 65 000 € par an
Data Analyst (H/F),ADSEARCH,Val-de-Reuil (27),CDI,40 000 € - 50 000 € par an
Ingénieur Data H/F,Fed IT,Versailles (78),CDI,45 000 € - 50 000 € par an
Data Analyst H/F,Fed IT,Versailles (78),CDI,45 000 € - 55 000 € par an
Data Engineer H/F,Michael Page,Courbevoie (92),CDI,60 000 € - 63 000 € par an
Data Analyst H/F,OLCANI RH,Reims (51),CDI,45 € - 50 €
Data Analyst H/F,Assurance Mutuelle des Motards,Pérols (34),CDI,65 000 € - 70 000 € par an
Data Engineer (h/f),LHH Recruitment Solutions,Pau (64),CDI,50 000 € - 60 000 €
Data Analyst H/F,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Data Analyst H/F - H/F,E.Leclerc,Ivry-sur-Seine (94),CDI,N/A
Data analyste (h/f),LHH Recruitment Solutions,Romilly-sur-Andelle (27),CDI,38 000 € - 42 000 €
Data Engineer(H/F),THALES,Vélizy-Villacoublay (78),CDI,N/A
Ingénieur DATA  (h/f),LHH Recruitment Solutions,Molsheim (67),CDI,38 000 € - 46 000 €
Ingénieur data H/F,Legallais,Calvados (14),CDI,N/A
Data Scientist H/F,Fauché,Montauban (82),CDI,N/A
EXPERT DATA - H/F,E.Leclerc,Le Luc (83),CDI,N/A
Data Engineer H/F,Michael Page,Paris 10 (75),CDI,55 000 € - 65 000 € par an
Data Engineer H/F,Groupe Talents Handicap,Hérault (34),CDI,N/A
Data Engineer H/F,Michael Page,Saint-Sauveur (70),CDI,50 000 € - 60 000 € par an
Data Engineer,Pixie Services,Breuil-le-Sec (60),CDI,N/A
Data Analyst,Le CabRH,Octeville-sur-Mer (76),CDI,N/A
DATA ANALYST TRANSPORT (H/F),Groupe MTA,Val-au-Perche (61),CDI,2 250 € - 2 500 € par mois
Data Analyst H/F,Michael Page,Fourqueux (78),CDI,45 000 € - 55 000 € par an
Responsable applicatif DATA,Fed IT,Lille (59),CDI,50 000 € - 60 000 € par an
Ingénieur Big Data confirmé - Data Factory - Bordeaux,Groupe Talents Handicap,Bordeaux (33),CDI,N/A
Data analyst H/F,Génération,Quimper (29),CDI,N/A
Data Scientist Roboticien H/F,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Data & Integration Engineer H/F,Michael Page,Orly (94),CDI,48 000 € - 50 000 € par an
Data & IA Engineer H/F,Michael Page,Chambéry (73),CDI,60 000 € - 65 000 € par an
Entreprise Architect Data – H/F,BNP PARIBAS,Levallois-Perret (92),CDI,N/A
Data Engineer,Silkhom,Clichy (92),Indépendant / Franchisé,N/A
Senior Data Analyst -Lyon,Groupe Talents Handicap,Lyon (69),CDI,N/A
Product Owner Data H/F,Teamis,Paris (75),CDI,55 000 € - 65 000 € par an
Product Manager Data,digiRocks,Paris (75),CDI,60 000 € - 70 000 € par an
Data Engineer GCP (H/F),THALES,Vélizy-Villacoublay (78),CDI,N/A
Chef de projet DATA H/F,Cezam (Groupe ACTUA),Strasbourg (67),CDI,N/A
Account Manager - Data H/F,Teamis,Paris (75),CDI,50 000 € - 70 000 € par an
Responsable PIM - Manager Data H/F,Fiducial,Lyon (69),CDI,N/A
Entreprise Architect Data – H/F,BNP PARIBAS,Levallois-Perret (92),CDI,N/A
Data engineer  – Industrie agroalimentaire,Silkhom,Saint-Sauveur (60),CDI,60 000 € - 70 000 € par an
Data Analyst - BI H/F,Michael Page,Lille (59),CDI,32 400 € - 39 600 € par an
Senior Data Analyst -Lyon,Groupe Talents Handicap,Lyon (69),CDI,N/A
Data Engineer,Silkhom,Clichy (92),Indépendant / Franchisé,N/A
Data Engineer GCP (H/F),THALES,Vélizy-Villacoublay (78),CDI,N/A
Product Owner Data – Domaine industriel,Silkhom,Saint-Sauveur (60),CDI,55 000 € - 60 000 €
Lead Data Scientist (H/F),RATP,Paris 12 (75),CDI,N/A
Data Scientist expérimenté (h/f),BNP PARIBAS,Jardin du Luxembourg (75),CDI,N/A
Ingénieur IA - Data Science H/F,Teamis,Lisses (91),CDI,55 000 € - 60 000 € par mois
Senior Consultant Data H/F,THALES,Lyon (69),CDI,N/A
Consultant Confirmé Data H/F,THALES,Lyon (69),CDI,N/A
Data Engineer Talend confirmé H/F,THALES,Toulouse (31),CDI,N/A
DATA CUSTODIAN (IT) OFFICER  - H/F,BNP PARIBAS,Mérignac (33),CDI,N/A
Data Platform Manager H/F,Michael Page,Argenteuil (95),CDI,100 000 € - 120 000 € par an
Data Analyst Finance H/F,Michael Page,Avignon (84),CDI,55 000 € - 60 000 € par an
Développeur IA - Data Science H/F,Teamis,Lisses (91),CDI,55 000 € - 60 000 € par mois
Data Analyst – Personal Finance - H/F,BNP PARIBAS,Mérignac (33),CDI,N/A
Data Quality Analyst Senior - H/F,BNP PARIBAS,Paris 19 (75),CDI,N/A
Data Scientist expérimenté (h/f),BNP PARIBAS,Jardin du Luxembourg (75),CDI,N/A
Senior Data Scientist (H/F),RATP,Paris 12 (75),CDI,N/A
Ingénieur Data Energétique H/F,Page Personnel,Rouen (76),CDI,32 000 € - 35 000 € par an
Tech Lead Data - Starburst (H/F),Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
Chef de Projet Data (H/F),Talents IT,Paris 11 (75),CDI,50 000 € - 55 000 € par an
DATA ENGINEER ( F/H),Expectra,Montaigu-Vendée (85),CDI,30 000 € - 40 000 € par an
CDI - Responsable Applicatif Data - H/F,Naval Group,Lorient (56),CDI,N/A
Data Scientist / MLEngineer,Pixie Services,Lille (59),CDI,N/A
CDI – Data Manager H/F,Naval Group,Cherbourg-Octeville (50),CDI,N/A
LEAD DATA ARCHITECT (F/H),Expectra,Chasseneuil-du-Poitou (86),CDI,60 000 € - 80 000 € par an
DATA ENGINEER,TOUTECHNICIENS,Évry-Courcouronnes (91),Intérim- 18 mois,35 € - 44 € par an
Architecte Data Confirmé F/H,Groupe Talents Handicap,Rhône (69),CDI,N/A
Data Architect - Aix en Provence,Groupe Talents Handicap,Aix-en-Provence (13),CDI,N/A
Ingénieur(e) Data - Services Publics - Nantes,Groupe Talents Handicap,Nantes (44),CDI,N/A
RESPONSABLE DATA ANALYST H/F,ACP Atlantique,Brest (29),CDI,N/A
Data analyst (H/F),Actual,Épinal (88),Intérim,20 000 € - 22 000 € par an
Data Manager (h/f),ADECCO,Oyonnax (01),"CDI Intérimaire, Intérim",N/A
Data Engineer Banque (H/F),Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France,Groupe Talents Handicap,Paris (75),CDI,N/A
Cloud Data Architect Manager,digiRocks,Paris (75),CDI,À partir de 80 000 € par an
Data Analyst H/F,JOBMANIA,Paris (75),Stage- 6 mois,À partir de 1 000 € par an
"Senior Data Scientist, JST Science",Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Technicien Data Center N3,QUALIS RECRUTEMENT,Lognes (77),"CDI, Intérim",27 000 € - 30 000 € par an
Data Scientist Speech-to-Text H/F,Groupe Talents Handicap,Loire-Atlantique (44),CDI,N/A
Senior Chef de Projet Data H/F,Teamis,Paris (75),CDI,55 000 € - 65 000 € par an
DATA Engineer senior - DCoE France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
DATA Engineer senior - DCoE France,Groupe Talents Handicap,Rhône (69),CDI,N/A
Data Engineer - Services Financiers - Nantes,Groupe Talents Handicap,Nantes (44),CDI,N/A
Chef de projet sénior data (H/F),Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
Chef de Projet Data H/F,Michael Page,Paris 13 (75),CDI,40 000 € - 45 000 € par an
CDI - DATA manager – Référent indicateurs – H/F,Naval Group,Cherbourg-Octeville (50),CDI,N/A
Ingénieur Big Data confirmé - Data Factory - Bordeaux o,Groupe Talents Handicap,Gironde (33),CDI,N/A
Data Scientist Expérimenté - H/F // Data Lab RH Groupe,BNP PARIBAS,Paris (75),CDI,N/A
Data Center System Engineer Senior H/F,Michael Page,Issus (31),CDI,60 000 € - 70 000 € par an
Data Analyst Confirmé F/H,Groupe Samsic,Cesson-Sévigné (35),CDI,N/A
Expert SI - Digital et Data,Groupe Talents Handicap,Loire-Atlantique (44),CDI,N/A
"Data Engineer - Azure, Python, Pyspark H/F",Teamis,Paris (75),CDI,40 000 € - 50 000 € par an
CDI - Product Owner Data Gouvernance -H/F,Naval Group,Lorient (56),CDI,N/A
Gestionnaire Data confirmé  (F/H),RATP,Paris 12 (75),CDI,N/A
Expert Tableau & Data H/F,Michael Page,Paris 19 (75),CDI,53 000 € - 58 000 € par an
CONSULTANT / CONSULTANTE DATA GOUVERNANCE - AIX EN PROVENCE,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
R&D Software Data Engineer H/F/X,Groupe Talents Handicap,Isère (38),CDI,N/A
Data scientist Lead Fonctionnel & Technique (H/F),Manpower,Poitiers (86),CDI,N/A
Data Engineer Snowflake,Silkhom,Lyon (69),Indépendant / Franchisé,N/A
Data Engineer GCP BigQuery F/H,Groupe Fnac Darty,Ivry-sur-Seine (94),CDI,N/A
Consultant(e) / Consultant(e) Senior - Data - IDF,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Leader Technique DATA – Informatica IDMC - DCoE France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Data Analytics Manager (H/F) Paris (N°75),Groupe Lactalis,Paris (75),"CDI, Stage",N/A
Ingénieur Big Data & Cloud Sénior (H/F),Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
Chargé de Gestion Data F/H,MAIF,Niort (79),CDI,N/A
Data Engineer confirmé Snowflake F/H,Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
Senior Data Center Colocation Regional Engineer,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Data Engineer Looker/LookML F/H,Groupe Fnac Darty,Ivry-sur-Seine (94),CDI,N/A
Data Analyst / BI - Comptabilité & Finance (H/F),HARRY HOPE,Rouen (76),CDI,35 000 € - 50 000 € par an
Responsable Reporting et Data Factory Finance,Le CabRH,Paris (75),CDI,N/A
Business & Data Analyst H/F,MARVESTING,Levallois-Perret (92),CDI,N/A
Data Engineer confirmé Databricks F/H,Groupe Talents Handicap,Paris (75),CDI,N/A
Ingénieur Big Data sénior - Services Financiers - Bordeaux,Groupe Talents Handicap,Bordeaux (33),CDI,N/A
Consultant DATA / Gouvernance des données DCoE - France,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Leader Technique DATA – Informatica IDMC - DCoE France,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Consultant DATA / Gouvernance des données DCoE - France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Ingénieur Data Confirmé - Services Financiers - Bordeaux,Groupe Talents Handicap,Bordeaux (33),CDI,N/A
"Data Center Security Manager, DC Security",Groupe Talents Handicap,Paris (75),CDI,N/A
"Data Center Security Manager, DC Security",Groupe Talents Handicap,Paris (75),CDI,N/A
Data Analyst - (H/F) - En alternance,OpenClassrooms,Massy (91),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Bordeaux (33),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Bordeaux (33),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Mérignac (33),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Tech Lead Data Engineer GCP - Paris,Groupe Talents Handicap,Hauts-de-Seine (92),"CDI, Alternance / Apprentissage",N/A
Alternance - Data Scientist (H/F),Groupe Talents Handicap,Paris (75),Alternance / Apprentissage,N/A
Data Engineer - Services Publics - Ile de France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Data Engineer - (H/F) - En alternance,OpenClassrooms,Lille (59),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Tourcoing (59),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Roubaix (59),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Noyelles-lès-Seclin (59),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
"Data Center Logistics Specialist, DCC Communities",Groupe Talents Handicap,Paris (75),CDI,N/A
Ingénieur(e) Data Ingestion - Aéroline - Aix-en-Provence,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Architecte DATA – Services Financiers - Ile de France,Groupe Talents Handicap,Paris (75),CDI,N/A
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Massy (91),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Clichy (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Saint-Nazaire (44),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
